,ENLISH,ENCODED
109,Join us.,Kpjo!vt/
110,Keep it.,Lffq!ju/
111,Kiss me.,Ljtt!nf/
112,Look up.,Mppl!vq/
113,Look up.,Mppl!vq/
114,"Me, too.",Nf-!upp/
115,Open up.,Pqfo!vq/
116,Quit it!,"Rvju!ju"""
117,Quit it!,"Rvju!ju"""
118,See you!,"Tff!zpv"""
119,See you.,Tff!zpv/
120,Show me.,Tipx!nf/
121,Shut up!,"Tivu!vq"""
122,Stop it.,Tupq!ju/
123,Take it.,Ublf!ju/
124,Tell me.,Ufmm!nf/
125,Tom ate.,Upn!buf/
126,Tom ate.,Upn!buf/
127,Tom ran.,Upn!sbo/
128,Tom won.,Upn!xpo/
129,Wait up.,Xbju!vq/
130,Wake up!,"Xblf!vq"""
131,Wake up.,Xblf!vq/
132,We know.,Xf!lopx/
133,We lost.,Xf!mptu/
134,Welcome.,Xfmdpnf/
135,Who ate?,Xip!buf@
136,Who won?,Xip!xpo@
137,Who won?,Xip!xpo@
138,Why not?,Xiz!opu@
139,You run.,Zpv!svo/
140,You run.,Zpv!svo/
141,You run.,Zpv!svo/
142,You won.,Zpv!xpo/
143,Am I fat?,Bn!J!gbu@
144,Ask them.,Btl!uifn/
145,Ask them.,Btl!uifn/
146,Back off!,"Cbdl!pgg"""
147,Back off!,"Cbdl!pgg"""
148,Back off.,Cbdl!pgg/
149,Back off.,Cbdl!pgg/
150,Be quiet.,Cf!rvjfu/
151,Be still.,Cf!tujmm/
152,"Bye, Tom.",Czf-!Upn/
153,Call Tom.,Dbmm!Upn/
154,Can I go?,Dbo!J!hp@
155,Cheer up!,"Diffs!vq"""
156,Cool off!,"Dppm!pgg"""
157,Find Tom.,Gjoe!Upn/
158,Fix this.,Gjy!uijt/
159,Get away!,"Hfu!bxbz"""
160,Get lost!,"Hfu!mptu"""
161,Get lost!,"Hfu!mptu"""
162,Get lost!,"Hfu!mptu"""
163,Get lost.,Hfu!mptu/
164,Get lost.,Hfu!mptu/
165,Get lost.,Hfu!mptu/
166,Get lost.,Hfu!mptu/
167,Good job!,"Hppe!kpc"""
168,Good job!,"Hppe!kpc"""
169,Grab Tom.,Hsbc!Upn/
170,Grab him.,Hsbc!ijn/
171,Have fun.,Ibwf!gvo/
172,Have fun.,Ibwf!gvo/
173,He tries.,If!usjft/
174,How cute!,"Ipx!dvuf"""
175,Hurry up.,Ivssz!vq/
176,Hurry up.,Ivssz!vq/
177,Hurry up.,Ivssz!vq/
178,I am fat.,J!bn!gbu/
179,I can go.,J!dbo!hp/
180,I forgot.,J!gpshpu/
181,I get it.,J!hfu!ju/
182,I got it.,J!hpu!ju/
183,I helped.,J!ifmqfe/
184,I helped.,J!ifmqfe/
185,I looked.,J!mpplfe/
186,I nodded.,J!opeefe/
187,I saw it.,J!tbx!ju/
188,I stayed.,J!tubzfe/
189,I stayed.,J!tubzfe/
190,I waited.,J!xbjufe/
191,I waited.,J!xbjufe/
192,I'll pay.,J(mm!qbz/
193,I'm back.,J(n!cbdl/
194,I'm bald.,J(n!cbme/
195,I'm busy.,J(n!cvtz/
196,I'm calm.,J(n!dbmn/
197,I'm cold.,J(n!dpme/
198,I'm done.,J(n!epof/
199,I'm fine.,J(n!gjof/
200,I'm free!,"J(n!gsff"""
201,I'm free.,J(n!gsff/
202,I'm full.,J(n!gvmm/
203,I'm full.,J(n!gvmm/
204,I'm here.,J(n!ifsf/
205,I'm home.,J(n!ipnf/
206,I'm late.,J(n!mbuf/
207,I'm lost.,J(n!mptu/
208,I'm next.,J(n!ofyu/
209,I'm sick.,J(n!tjdl/
210,I'm tall.,J(n!ubmm/
211,I'm weak.,J(n!xfbl/
212,It helps.,Ju!ifmqt/
213,It hurts.,Ju!ivsut/
214,It's Tom.,Ju(t!Upn/
215,It's his.,Ju(t!ijt/
216,It's his.,Ju(t!ijt/
217,It's hot.,Ju(t!ipu/
218,It's new.,Ju(t!ofx/
219,It's odd.,Ju(t!pee/
220,It's red.,Ju(t!sfe/
221,Keep out!,"Lffq!pvu"""
222,Keep out!,"Lffq!pvu"""
223,Keep out.,Lffq!pvu/
224,Kill Tom.,Ljmm!Upn/
225,Kiss Tom.,Ljtt!Upn/
226,Let's go!,"Mfu(t!hp"""
227,Let's go!,"Mfu(t!hp"""
228,Let's go.,Mfu(t!hp/
229,Let's go.,Mfu(t!hp/
230,Look out!,"Mppl!pvu"""
231,Marry me.,Nbssz!nf/
232,May I go?,Nbz!J!hp@
233,Save Tom.,Tbwf!Upn/
234,She came.,Tif!dbnf/
235,She died.,Tif!ejfe/
236,She died.,Tif!ejfe/
237,She runs.,Tif!svot/
238,Sit down!,"Tju!epxo"""
239,Sit down.,Tju!epxo/
240,Sit down.,Tju!epxo/
241,Sit here.,Tju!ifsf/
242,Sit here.,Tju!ifsf/
243,Stand up!,"Tuboe!vq"""
244,Stop Tom.,Tupq!Upn/
245,Take Tom.,Ublf!Upn/
246,Tell Tom.,Ufmm!Upn/
247,Terrific!,"Ufssjgjd"""
248,Terrific!,"Ufssjgjd"""
249,Terrific!,"Ufssjgjd"""
250,Terrific!,"Ufssjgjd"""
251,They won.,Uifz!xpo/
252,Tom came.,Upn!dbnf/
253,Tom died.,Upn!ejfe/
254,Tom fell.,Upn!gfmm/
255,Tom fled.,Upn!gmfe/
256,Tom fled.,Upn!gmfe/
257,Tom knew.,Upn!lofx/
258,Tom left.,Upn!mfgu/
259,Tom lied.,Upn!mjfe/
260,Tom lies.,Upn!mjft/
261,Tom lost.,Upn!mptu/
262,Tom paid.,Upn!qbje/
263,Tom paid.,Upn!qbje/
264,Tom quit.,Upn!rvju/
265,Tom spit.,Upn!tqju/
266,Tom swam.,Upn!txbn/
267,Tom wept.,Upn!xfqu/
268,Too late.,Upp!mbuf/
269,Trust me.,Usvtu!nf/
270,Try hard.,Usz!ibse/
271,Try some.,Usz!tpnf/
272,Try this.,Usz!uijt/
273,Warn Tom.,Xbso!Upn/
274,We agree.,Xf!bhsff/
275,What for?,Xibu!gps@
276,Who am I?,Xip!bn!J@
277,Who came?,Xip!dbnf@
278,Who came?,Xip!dbnf@
279,Who died?,Xip!ejfe@
280,Who died?,Xip!ejfe@
281,Who died?,Xip!ejfe@
282,Who fell?,Xip!gfmm@
283,You lost.,Zpv!mptu/
284,After you.,Bgufs!zpv/
285,Aim. Fire!,"Bjn/!Gjsf"""
286,Answer me.,Botxfs!nf/
287,Birds fly.,Cjset!gmz/
288,Call home!,"Dbmm!ipnf"""
289,Calm down!,"Dbmn!epxo"""
290,Calm down.,Dbmn!epxo/
291,Calm down.,Dbmn!epxo/
292,Catch Tom.,Dbudi!Upn/
293,Catch him.,Dbudi!ijn/
294,Come home.,Dpnf!ipnf/
295,Do it now.,Ep!ju!opx/
296,Dogs bark.,Epht!cbsl/
297,Excuse me.,Fydvtf!nf/
298,Excuse me?,Fydvtf!nf@
299,Fantastic!,"Gboubtujd"""
300,Fantastic!,"Gboubtujd"""
301,Fantastic!,"Gboubtujd"""
302,Follow me.,Gpmmpx!nf/
303,Forget it.,Gpshfu!ju/
304,Forget it.,Gpshfu!ju/
305,Go inside.,Hp!jotjef/
306,Go to bed.,Hp!up!cfe/
307,Good luck.,Hppe!mvdl/
308,Good luck.,Hppe!mvdl/
309,Hands off.,Iboet!pgg/
310,He is ill.,If!jt!jmm/
311,He is old.,If!jt!pme/
312,He's a DJ.,If(t!b!EK/
313,He's lazy.,If(t!mb{z/
314,He's rich.,If(t!sjdi/
315,Hold fire.,Ipme!gjsf/
316,How weird!,"Ipx!xfjse"""
317,How's Tom?,Ipx(t!Upn@
318,I am busy.,J!bn!cvtz/
319,I am calm.,J!bn!dbmn/
320,I am cold.,J!bn!dpme/
321,I am here.,J!bn!ifsf/
322,I am lazy.,J!bn!mb{z/
323,I am lost.,J!bn!mptu/
324,I am okay.,J!bn!plbz/
325,I am okay.,J!bn!plbz/
326,I am sick.,J!bn!tjdl/
327,I am sure.,J!bn!tvsf/
328,I am tall.,J!bn!ubmm/
329,I am weak.,J!bn!xfbl/
330,I can ski.,J!dbo!tlj/
331,I can win.,J!dbo!xjo/
332,I cheered.,J!diffsfe/
333,I fainted.,J!gbjoufe/
334,I give up.,J!hjwf!vq/
335,I hope so.,J!ipqf!tp/
336,I hope so.,J!ipqf!tp/
337,I inhaled.,J!joibmfe/
338,I knew it.,J!lofx!ju/
339,I laughed.,J!mbvhife/
340,I like it.,J!mjlf!ju/
341,I lost it.,J!mptu!ju/
342,I mean it!,"J!nfbo!ju"""
343,I mean it.,J!nfbo!ju/
344,I must go.,J!nvtu!hp/
345,I noticed.,J!opujdfe/
346,I promise.,J!qspnjtf/
347,I saw Tom.,J!tbx!Upn/
348,I saw him.,J!tbx!ijn/
349,I see Tom.,J!tff!Upn/
350,I will go.,J!xjmm!hp/
351,I'm a Leo.,J(n!b!Mfp/
352,I'm a bum.,J(n!b!cvn/
353,I'm a cop.,J(n!b!dpq/
354,I'm a man.,J(n!b!nbo/
355,I'm alone.,J(n!bmpof/
356,I'm angry.,J(n!bohsz/
357,I'm awake.,J(n!bxblf/
358,I'm blind.,J(n!cmjoe/
359,I'm bored.,J(n!cpsfe/
360,I'm bored.,J(n!cpsfe/
361,I'm broke.,J(n!csplf/
362,I'm broke.,J(n!csplf/
363,I'm dirty.,J(n!ejsuz/
364,I'm drunk.,J(n!esvol/
365,I'm going.,J(n!hpjoh/
366,I'm going.,J(n!hpjoh/
367,I'm happy.,J(n!ibqqz/
368,I'm happy.,J(n!ibqqz/
369,I'm lucky.,J(n!mvdlz/
370,I'm ready.,J(n!sfbez/
371,I'm right.,J(n!sjhiu/
372,I'm smart.,J(n!tnbsu/
373,I'm sorry.,J(n!tpssz/
374,I'm sorry.,J(n!tpssz/
375,I'm sorry.,J(n!tpssz/
376,I'm sorry.,J(n!tpssz/
377,I'm tired.,J(n!ujsfe/
378,I'm young.,J(n!zpvoh/
379,Ignore it.,Jhopsf!ju/
380,Is he Tom?,Jt!if!Upn@
381,Is it bad?,Jt!ju!cbe@
382,Is it far?,Jt!ju!gbs@
383,Is it hot?,Jt!ju!ipu@
384,Is it red?,Jt!ju!sfe@
385,It failed.,Ju!gbjmfe/
386,It rained.,Ju!sbjofe/
387,It snowed.,Ju!topxfe/
388,It stinks.,Ju!tujolt/
389,It worked.,Ju!xpslfe/
390,It's 8:30.,Ju(t!9;41/
391,It's cold.,Ju(t!dpme/
392,It's dead.,Ju(t!efbe/
393,It's easy.,Ju(t!fbtz/
394,It's free.,Ju(t!gsff/
395,It's here.,Ju(t!ifsf/
396,It's hers.,Ju(t!ifst/
397,It's hers.,Ju(t!ifst/
398,It's late.,Ju(t!mbuf/
399,It's nice.,Ju(t!ojdf/
400,It's ours.,Ju(t!pvst/
401,It's over.,Ju(t!pwfs/
402,It's true.,Ju(t!usvf/
403,It's work.,Ju(t!xpsl/
404,Keep calm.,Lffq!dbmn/
405,Keep cool.,Lffq!dppm/
406,Keep that.,Lffq!uibu/
407,Keep this.,Lffq!uijt/
408,Leave Tom.,Mfbwf!Upn/
409,Leave now!,"Mfbwf!opx"""
410,Leave now.,Mfbwf!opx/
411,Let me go!,"Mfu!nf!hp"""
412,Let me in.,Mfu!nf!jo/
413,Let us go.,Mfu!vt!hp/
414,Let's ask.,Mfu(t!btl/
415,Let's see.,Mfu(t!tff/
416,Let's ski.,Mfu(t!tlj/
417,Let's try!,"Mfu(t!usz"""
418,Let's try.,Mfu(t!usz/
419,Lie still.,Mjf!tujmm/
420,Listen up.,Mjtufo!vq/
421,Listen up.,Mjtufo!vq/
422,Look away.,Mppl!bxbz/
423,Look here.,Mppl!ifsf/
424,Move over.,Npwf!pwfs/
425,Move over.,Npwf!pwfs/
426,Of course!,"Pg!dpvstf"""
427,Of course.,Pg!dpvstf/
428,Pardon me?,Qbsepo!nf@
429,Read this.,Sfbe!uijt/
430,Say hello.,Tbz!ifmmp/
431,See above.,Tff!bcpwf/
432,Seize him!,"Tfj{f!ijn"""
433,Seriously?,Tfsjpvtmz@
434,She cried.,Tif!dsjfe/
435,She tried.,Tif!usjfe/
436,She walks.,Tif!xbmlt/
437,Sign here.,Tjho!ifsf/
438,Sign this.,Tjho!uijt/
439,Sit still.,Tju!tujmm/
440,Sit there.,Tju!uifsf/
441,Sit tight.,Tju!ujhiu/
442,Slow down!,"Tmpx!epxo"""
443,Start now.,Tubsu!opx/
444,Stay away.,Tubz!bxbz/
445,Stay back.,Tubz!cbdl/
446,Stay calm.,Tubz!dbmn/
447,Stay calm.,Tubz!dbmn/
448,Stay down!,"Tubz!epxo"""
449,Step back.,Tufq!cbdl/
450,Stop that!,"Tupq!uibu"""
451,Stop that!,"Tupq!uibu"""
452,Stop that.,Tupq!uibu/
453,Stop them.,Tupq!uifn/
454,Take care.,Ublf!dbsf/
455,Take this.,Ublf!uijt/
456,Thank you.,Uibol!zpv/
457,Thank you.,Uibol!zpv/
458,Thank you.,Uibol!zpv/
459,That's it.,Uibu(t!ju/
460,That's me.,Uibu(t!nf/
461,Then what?,Uifo!xibu@
462,They fell.,Uifz!gfmm/
463,They left.,Uifz!mfgu/
464,They lied.,Uifz!mjfe/
465,Tom bowed.,Upn!cpxfe/
466,Tom cared.,Upn!dbsfe/
467,Tom cares.,Upn!dbsft/
468,Tom cooks.,Upn!dpplt/
469,Tom cried.,Upn!dsjfe/
470,Tom dozed.,Upn!ep{fe/
471,Tom drank.,Upn!esbol/
472,Tom drove.,Upn!espwf/
473,Tom knits.,Upn!lojut/
474,Tom knows.,Upn!lopxt/
475,Tom moved.,Upn!npwfe/
476,Tom moved.,Upn!npwfe/
477,Tom slept.,Upn!tmfqu/
478,Tom spoke.,Upn!tqplf/
479,Tom swore.,Upn!txpsf/
480,Tom tried.,Upn!usjfe/
481,Tom tries.,Upn!usjft/
482,Tom voted.,Upn!wpufe/
483,Tom voted.,Upn!wpufe/
484,Tom walks.,Upn!xbmlt/
485,Tom waved.,Upn!xbwfe/
486,Tom works.,Upn!xpslt/
487,Tom's fat.,Upn(t!gbu/
488,Tom's mad.,Upn(t!nbe/
489,Tom's mad.,Upn(t!nbe/
490,Tom's sad.,Upn(t!tbe/
491,Tom's sad.,Upn(t!tbe/
492,Tom's sad.,Upn(t!tbe/
493,Tom's shy.,Upn(t!tiz/
494,Trust Tom.,Usvtu!Upn/
495,Try again.,Usz!bhbjo/
496,Try again.,Usz!bhbjo/
497,Turn left.,Uvso!mfgu/
498,Watch Tom.,Xbudi!Upn/
499,Watch Tom.,Xbudi!Upn/
500,Watch out!,"Xbudi!pvu"""
501,Way to go!,"Xbz!up!hp"""
502,We did it!,"Xf!eje!ju"""
503,We failed.,Xf!gbjmfe/
504,We failed.,Xf!gbjmfe/
505,We forgot.,Xf!gpshpu/
506,We forgot.,Xf!gpshpu/
507,We'll try.,Xf(mm!usz/
508,We'll try.,Xf(mm!usz/
509,We're hot.,Xf(sf!ipu/
510,We're shy.,Xf(sf!tiz/
511,Well done!,"Xfmm!epof"""
512,Well done!,"Xfmm!epof"""
513,Well done!,"Xfmm!epof"""
514,Well done!,"Xfmm!epof"""
515,What's up?,Xibu(t!vq@
516,What's up?,Xibu(t!vq@
517,Who cares?,Xip!dbsft@
518,Who cares?,Xip!dbsft@
519,Who drove?,Xip!espwf@
520,Who drove?,Xip!espwf@
521,Who is he?,Xip!jt!if@
522,Who is it?,Xip!jt!ju@
523,Who knows?,Xip!lopxt@
524,Who's she?,Xip(t!tif@
525,Wonderful!,"Xpoefsgvm"""
526,Write Tom.,Xsjuf!Upn/
527,You drive.,Zpv!esjwf/
528,You drive.,Zpv!esjwf/
529,You drive.,Zpv!esjwf/
530,You idiot!,"Zpv!jejpu"""
531,You idiot!,"Zpv!jejpu"""
532,You start.,Zpv!tubsu/
533,You start.,Zpv!tubsu/
534,You start.,Zpv!tubsu/
535,You stink.,Zpv!tujol/
536,You stink.,Zpv!tujol/
537,You stink.,Zpv!tujol/
538,You tried.,Zpv!usjfe/
539,All aboard!,"Bmm!bcpbse"""
540,Am I right?,Bn!J!sjhiu@
541,Am I wrong?,Bn!J!xspoh@
542,Am I wrong?,Bn!J!xspoh@
543,Are you OK?,Bsf!zpv!PL@
544,Are you OK?,Bsf!zpv!PL@
545,Are you OK?,Bsf!zpv!PL@
546,Ask anyone.,Btl!bozpof/
547,Ask anyone.,Btl!bozpof/
548,Ask around.,Btl!bspvoe/
549,Be careful.,Cf!dbsfgvm/
550,Be on time.,Cf!po!ujnf/
551,Be patient.,Cf!qbujfou/
552,Be serious.,Cf!tfsjpvt/
553,Birds sing.,Cjset!tjoh/
554,Bottoms up!,"Cpuupnt!vq"""
555,Bring food.,Csjoh!gppe/
556,Bring help.,Csjoh!ifmq/
557,Bring wine.,Csjoh!xjof/
558,Can I come?,Dbo!J!dpnf@
559,Can I help?,Dbo!J!ifmq@
560,Can I sing?,Dbo!J!tjoh@
561,Can I stay?,Dbo!J!tubz@
562,Carry this.,Dbssz!uijt/
563,Check that.,Difdl!uibu/
564,Check that.,Difdl!uibu/
565,Check this.,Difdl!uijt/
566,Choose one.,Dipptf!pof/
567,Come again.,Dpnf!bhbjo/
568,Come along.,Dpnf!bmpoh/
569,Come on in!,"Dpnf!po!jo"""
570,Come on in.,Dpnf!po!jo/
571,Come on in.,Dpnf!po!jo/
572,Come quick!,"Dpnf!rvjdl"""
573,Cut it out!,"Dvu!ju!pvu"""
574,Cut it out.,Dvu!ju!pvu/
575,Definitely!,"Efgjojufmz"""
576,Definitely!,"Efgjojufmz"""
577,Definitely!,"Efgjojufmz"""
578,Do men cry?,Ep!nfo!dsz@
579,Do you ski?,Ep!zpv!tlj@
580,Do you ski?,Ep!zpv!tlj@
581,Do you ski?,Ep!zpv!tlj@
582,Don't fret.,Epo(u!gsfu/
583,Don't jump!,"Epo(u!kvnq"""
584,Don't look.,Epo(u!mppl/
585,Don't move!,"Epo(u!npwf"""
586,Don't move!,"Epo(u!npwf"""
587,Don't move.,Epo(u!npwf/
588,Don't sing.,Epo(u!tjoh/
589,Don't talk!,"Epo(u!ubml"""
590,Don't talk.,Epo(u!ubml/
591,Duty calls.,Evuz!dbmmt/
592,Eat slowly.,Fbu!tmpxmz/
593,Face facts!,"Gbdf!gbdut"""
594,Fire burns.,Gjsf!cvsot/
595,Follow him.,Gpmmpx!ijn/
596,Forget Tom.,Gpshfu!Upn/
597,Forget him.,Gpshfu!ijn/
598,Forgive us.,Gpshjwf!vt/
599,God exists.,Hpe!fyjtut/
600,He hung up.,If!ivoh!vq/
601,He hung up.,If!ivoh!vq/
602,He is a DJ.,If!jt!b!EK/
603,He is here!,"If!jt!ifsf"""
604,He is kind.,If!jt!ljoe/
605,He is kind.,If!jt!ljoe/
606,He is lazy.,If!jt!mb{z/
607,He is nice.,If!jt!ojdf/
608,He is sick.,If!jt!tjdl/
609,He laughed.,If!mbvhife/
610,He's drunk.,If(t!esvol/
611,He's happy.,If(t!ibqqz/
612,He's smart.,If(t!tnbsu/
613,"Hello, Tom.",Ifmmp-!Upn/
614,Here he is!,"Ifsf!if!jt"""
615,"Hey, relax.",Ifz-!sfmby/
616,"Hey, relax.",Ifz-!sfmby/
617,How absurd!,"Ipx!bctvse"""
618,How clever!,"Ipx!dmfwfs"""
619,How is Tom?,Ipx!jt!Upn@
620,How was it?,Ipx!xbt!ju@
621,Hurry back.,Ivssz!cbdl/
622,Hurry home.,Ivssz!ipnf/
623,Hurry home.,Ivssz!ipnf/
624,I am a boy.,J!bn!b!cpz/
625,I am a man.,J!bn!b!nbo/
626,I am bored.,J!bn!cpsfe/
627,I am bored.,J!bn!cpsfe/
628,I am going.,J!bn!hpjoh/
629,I am going.,J!bn!hpjoh/
630,I am happy.,J!bn!ibqqz/
631,I am ready.,J!bn!sfbez/
632,I am right.,J!bn!sjhiu/
633,I am smart.,J!bn!tnbsu/
634,I am tired.,J!bn!ujsfe/
635,I am young.,J!bn!zpvoh/
636,I ate rice.,J!buf!sjdf/
637,I can come.,J!dbo!dpnf/
638,I can cook.,J!dbo!dppl/
639,I can help.,J!dbo!ifmq/
640,I can read.,J!dbo!sfbe/
641,I can sing.,J!dbo!tjoh/
642,I can stay.,J!dbo!tubz/
643,I can swim.,J!dbo!txjn/
644,I can wait.,J!dbo!xbju/
645,I can walk.,J!dbo!xbml/
646,I can't go.,J!dbo(u!hp/
647,I disagree.,J!ejtbhsff/
648,I disagree.,J!ejtbhsff/
649,I eat fish.,J!fbu!gjti/
650,I eat here.,J!fbu!ifsf/
651,I eat rice.,J!fbu!sjdf/
652,I found it.,J!gpvoe!ju/
653,I got sick.,J!hpu!tjdl/
654,I had help.,J!ibe!ifmq/
655,I hate Tom.,J!ibuf!Upn/
656,I have won.,J!ibwf!xpo/
657,I hear you.,J!ifbs!zpv/
658,I hear you.,J!ifbs!zpv/
659,I help Tom.,J!ifmq!Upn/
660,I help him.,J!ifmq!ijn/
661,I hope not.,J!ipqf!opu/
662,I know her.,J!lopx!ifs/
663,I know him.,J!lopx!ijn/
664,I like art.,J!mjlf!bsu/
665,I like art.,J!mjlf!bsu/
666,I like him.,J!mjlf!ijn/
667,I like tea.,J!mjlf!ufb/
668,I like tea.,J!mjlf!ufb/
669,I like you.,J!mjlf!zpv/
670,I like you.,J!mjlf!zpv/
671,I love Tom.,J!mpwf!Upn/
672,I love her.,J!mpwf!ifs/
673,I love him.,J!mpwf!ijn/
674,I love him.,J!mpwf!ijn/
675,I love rice,J!mpwf!sjdf
676,I love tea.,J!mpwf!ufb/
677,I love you.,J!mpwf!zpv/
678,I love you.,J!mpwf!zpv/
679,I love you.,J!mpwf!zpv/
680,I love you.,J!mpwf!zpv/
681,I made tea.,J!nbef!ufb/
682,I made tea.,J!nbef!ufb/
683,I miss him.,J!njtt!ijn/
684,I miss you.,J!njtt!zpv/
685,I need air.,J!offe!bjs/
686,I need ice.,J!offe!jdf/
687,I need you.,J!offe!zpv/
688,I need you.,J!offe!zpv/
689,I need you.,J!offe!zpv/
690,I objected.,J!pckfdufe/
691,I panicked.,J!qbojdlfe/
692,I panicked.,J!qbojdlfe/
693,I promised.,J!qspnjtfe/
694,I ran home.,J!sbo!ipnf/
695,I ran home.,J!sbo!ipnf/
696,I saw that.,J!tbx!uibu/
697,I saw them.,J!tbx!uifn/
698,I saw them.,J!tbx!uifn/
699,I see them.,J!tff!uifn/
700,I survived.,J!tvswjwfe/
701,I think so.,J!uijol!tp/
702,I threw up.,J!uisfx!vq/
703,I want one!,"J!xbou!pof"""
704,I want one!,"J!xbou!pof"""
705,I want one.,J!xbou!pof/
706,I want you.,J!xbou!zpv/
707,I was calm.,J!xbt!dbmn/
708,I was cold.,J!xbt!dpme/
709,I was sick.,J!xbt!tjdl/
710,I won't go.,J!xpo(u!hp/
711,I'll check.,J(mm!difdl/
712,I'll check.,J(mm!difdl/
713,I'll check.,J(mm!difdl/
714,I'm 30 now.,J(n!41!opx/
715,I'm a hero.,J(n!b!ifsp/
716,I'm a twin.,J(n!b!uxjo/
717,I'm afraid.,J(n!bgsbje/
718,I'm chubby.,J(n!divccz/
719,I'm coming.,J(n!dpnjoh/
720,I'm eating.,J(n!fbujoh/
721,I'm hiding.,J(n!ijejoh/
722,I'm hungry!,"J(n!ivohsz"""
723,I'm hungry.,J(n!ivohsz/
724,I'm in bed.,J(n!jo!cfe/
725,I'm joking.,J(n!kpljoh/
726,I'm not in.,J(n!opu!jo/
727,I'm scared.,J(n!tdbsfe/
728,I'm sleepy!,"J(n!tmffqz"""
729,I'm sleepy!,"J(n!tmffqz"""
730,I'm sleepy!,"J(n!tmffqz"""
731,I'm sleepy.,J(n!tmffqz/
732,I'm so fat.,J(n!tp!gbu/
733,I'm thirty.,J(n!uijsuz/
734,I've eaten.,J(wf!fbufo/
735,Ignore Tom.,Jhopsf!Upn/
736,Ignore him.,Jhopsf!ijn/
737,Is Tom hot?,Jt!Upn!ipu@
738,Is Tom hot?,Jt!Upn!ipu@
739,Is Tom ill?,Jt!Upn!jmm@
740,Is he busy?,Jt!if!cvtz@
741,Is he tall?,Jt!if!ubmm@
742,Is he tall?,Jt!if!ubmm@
743,Is it done?,Jt!ju!epof@
